Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,2,50.0,Unstable,0.5150402951985598
1,1,25.0,Unstable,0.5151234976947308
2,3,75.0,Robust,0.7528885640203953
3,1,25.0,Unstable,0.611547190696001
4,3,75.0,Robust,0.8008508458733559
5,1,25.0,Unstable,0.6095396894961596
6,1,25.0,Unstable,0.514706015586853
7,3,75.0,Robust,0.7681954801082611
8,3,75.0,Robust,0.7556385323405266
9,2,50.0,Unstable,0.8565735220909119
10,2,50.0,Unstable,0.7681958079338074
11,2,50.0,Unstable,0.6626569032669067
12,1,25.0,Unstable,0.38679715618491173
13,3,75.0,Robust,0.7429406382143497
14,1,25.0,Unstable,0.604586623609066
15,3,75.0,Robust,0.7568876855075359
16,1,25.0,Unstable,0.590739831328392
17,1,25.0,Unstable,0.4018492940813303
18,3,75.0,Robust,0.7884677946567535
19,2,50.0,Unstable,0.7893384248018265
