Subject,Factor_11
0,-0.29373791813850403
1,-0.4925902187824249
2,-0.16842423379421234
3,0.28845691680908203
4,0.03610793873667717
5,-0.4288506805896759
6,-0.21191586554050446
7,0.16262918710708618
8,0.30516350269317627
9,-0.008571903221309185
10,0.17979662120342255
11,0.05444987490773201
12,-0.21331888437271118
13,0.28685450553894043
14,0.20740121603012085
15,-0.4342789947986603
16,0.27132752537727356
17,0.24590478837490082
18,0.40038976073265076
19,-0.1717962771654129
20,0.16526328027248383
21,0.4306989014148712
22,0.4133813679218292
23,-0.08545428514480591
24,0.2091391235589981
25,0.2545285224914551
26,-0.046290040016174316
27,-0.3948502540588379
28,0.3392057418823242
29,-0.2977665662765503
30,0.24168068170547485
31,0.04517703130841255
32,-0.3247946798801422
33,0.26076266169548035
34,-0.41258299350738525
35,0.12170813232660294
36,-0.36741623282432556
37,0.35433411598205566
38,-0.1638757884502411
39,0.34131190180778503
40,-0.1434139758348465
41,-0.18677596747875214
42,-0.4662376940250397
43,0.13239623606204987
44,-0.43690225481987
45,0.2605741322040558
46,-0.19237564504146576
47,0.24160528182983398
48,-0.2941930592060089
49,-0.15760721266269684
50,0.19062288105487823
51,-0.19296132028102875
52,0.28819629549980164
53,-0.183629110455513
54,0.10924356430768967
55,0.3336775302886963
56,0.4297303259372711
57,0.207877516746521
58,-0.26246950030326843
59,0.2567414939403534
60,-0.5449932217597961
61,0.23084278404712677
62,-0.38807153701782227
63,-0.6110754609107971
64,-0.3388429880142212
65,-0.26005712151527405
66,-0.22199298441410065
67,0.37150856852531433
68,0.3378125727176666
69,-0.15219329297542572
70,-0.318683922290802
71,0.05128054320812225
72,0.06616532057523727
73,-0.2926013171672821
74,-0.17869196832180023
75,-0.1905169039964676
76,-0.2808140218257904
77,0.2629341185092926
78,0.47444868087768555
79,-0.12525112926959991
80,-0.18456019461154938
81,0.40879544615745544
82,0.4159134328365326
83,0.2620837390422821
84,-0.15497644245624542
85,0.3339449465274811
